Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sorting_markers,source_name,SRA Study,strain,tissue
SRR6466906,6 weeks old,RNA-Seq,50,751284500,PRJNA429735,SAMN08358281,327636221,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556855,GSM2932488,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:54:00Z,1,GSM2932488,CD19+Igm+TCRb-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466907,6 weeks old,RNA-Seq,50,488402600,PRJNA429735,SAMN08358280,206520796,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556856,GSM2932489,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:59:00Z,1,GSM2932489,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466908,6 weeks old,RNA-Seq,50,768020750,PRJNA429735,SAMN08358279,336106190,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556857,GSM2932490,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:53:00Z,1,GSM2932490,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466909,6 weeks old,RNA-Seq,50,758041300,PRJNA429735,SAMN08358278,330342179,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556858,GSM2932491,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:52:00Z,1,GSM2932491,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466910,6 weeks old,RNA-Seq,50,503678300,PRJNA429735,SAMN08358277,214597266,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556859,GSM2932492,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:00:00Z,1,GSM2932492,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466911,6 weeks old,RNA-Seq,50,694833150,PRJNA429735,SAMN08358276,303806618,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556860,GSM2932493,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:47:00Z,1,GSM2932493,CD93+IgM+CD19+CD43-HSA+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466912,6 weeks old,RNA-Seq,50,660841600,PRJNA429735,SAMN08358275,280005024,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556861,GSM2932494,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:57:00Z,1,GSM2932494,CD93+IgM+CD19+CD43-HSA+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466913,6 weeks old,RNA-Seq,50,399183900,PRJNA429735,SAMN08358274,178195407,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556862,GSM2932495,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:48:00Z,1,GSM2932495,CD19+B220+IgD-Fas+CD38-CXCR4hi CD86lo,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466914,6 weeks old,RNA-Seq,50,550251050,PRJNA429735,SAMN08358273,231581039,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556863,GSM2932496,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:02:00Z,1,GSM2932496,CD19+B220+IgD-Fas+CD38-CXCR4hi CD86lo,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466915,6 weeks old,RNA-Seq,50,313226900,PRJNA429735,SAMN08358272,136037069,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556864,GSM2932497,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:57:00Z,1,GSM2932497,CD19+B220+IgD-Fas+CD38-CXCR4hi CD86lo,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466916,6 weeks old,RNA-Seq,50,464761550,PRJNA429735,SAMN08358271,197069122,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556865,GSM2932498,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:58:00Z,1,GSM2932498,CD19+B220+IgD-Fas+CD38-CXCR4lo CD86hi,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466917,6 weeks old,RNA-Seq,50,707124550,PRJNA429735,SAMN08358270,308002867,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556866,GSM2932499,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:49:00Z,1,GSM2932499,CD19+B220+IgD-Fas+CD38-CXCR4lo CD86hi,Spleen,SRP128986,C57BL/6J,Spleen
