Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sorting_markers,source_name,SRA Study,strain,create_date,version
SRR8147034,15 weeks old,RNA-Seq,50,522340750,PRJNA503607,SAMN10366067,221717148,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967530,GSM3455025,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455025,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147035,15 weeks old,RNA-Seq,50,708207900,PRJNA503607,SAMN10366066,294351363,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967531,GSM3455026,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455026,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147036,15 weeks old,RNA-Seq,50,823835550,PRJNA503607,SAMN10366064,341429058,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967532,GSM3455027,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455027,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:21:00Z,1
SRR8147037,15 weeks old,RNA-Seq,50,456903300,PRJNA503607,SAMN10366062,190650002,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967533,GSM3455028,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455028,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147038,15 weeks old,RNA-Seq,50,790884150,PRJNA503607,SAMN10366061,326924923,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967534,GSM3455029,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455029,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147039,15 weeks old,RNA-Seq,50,883671800,PRJNA503607,SAMN10366059,365163426,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967535,GSM3455030,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455030,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147040,15 weeks old,RNA-Seq,50,570542100,PRJNA503607,SAMN10366057,235534205,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967536,GSM3455031,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455031,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147041,15 weeks old,RNA-Seq,50,427585550,PRJNA503607,SAMN10366056,178175060,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967537,GSM3455032,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455032,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147042,15 weeks old,RNA-Seq,50,719213150,PRJNA503607,SAMN10366054,298564559,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967538,GSM3455033,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455033,CD45 CD11b CD64 MerTK LYVE-1 MHCII Dump channel,Aorta,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147043,15 weeks old,RNA-Seq,50,729004150,PRJNA503607,SAMN10366053,300188426,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967539,GSM3455034,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455034,F4/80 ICAM2,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
